qid,K,CQ_Cneg,CQ_Cpos,Q
In what city was Alexandros Matsas born?,0,0.1333244966629068,1.1024113783375058,-3.5072715747687724
In what city was Alfred Jefferis Turner born?,0,-3.174847594028343,-6.253830021054831,-7.311800999498739
In what city was Alma Karlin born?,1,-1.6289394760118605,-3.0818806830839947,2.9007632345929144
In what city was Andries Bonger born?,1,2.794635992389256,2.9428217587612164,3.285219147161543
In what city was Angela Leong born?,0,-1.7231551029798557,-5.20232658638669,1.6408946621119138
In what city was Babyface born?,1,8.508852204157975,9.348542459897686,6.0803303293946485
In what city was Benny Napoleon born?,1,0.5660368332892691,-1.6629775303882748,2.3898544074618377
In what city was Billy McGinty born?,0,-8.794553042135561,-8.255701620198039,-12.052296471139787
In what city was Cloe Elmo born?,0,-2.1676317338467674,-3.2591647165378292,-2.4357144726604245
In what city was Constantine of Kostenets born?,1,4.467074254563811,6.52169312675262,-0.8081721713011378
In what city was Cornelis Springer born?,1,-0.9288846344327626,-1.9068554255157413,3.2013139789417573
In what city was Dawson Turner born?,1,2.389806984827147,1.446823756227032,-4.068989854921329
In what city was Dick Calmus born?,0,-7.8564294754676105,-8.045846923759097,-13.538289663756267
In what city was Doc Parker born?,0,-5.585084641669247,-7.5189043614795645,-10.130319107120124
In what city was Ed Parker Jr. born?,0,0.028758581487716706,-1.7524284758500388,-2.342310823504752
In what city was Giuseppe Bezzuoli born?,1,3.636636763534388,3.589476142151084,-2.072037199341443
In what city was Gregorio Selser born?,0,-5.3125208116607,-1.3571265607821419,4.204985694143904
In what city was Hendrik Gerritsz Pot born?,1,4.721838532909027,3.823965032820111,2.47577625411171
In what city was Herman Hertzberger born?,0,-3.1362449120809894,-1.4992551311758588,4.930224698756383
In what city was Hittman born?,0,-0.44692062361643536,-0.9307272550339052,-6.24732042377389
In what city was Jaime de Angulo born?,0,-1.6388003372067799,0.11854879143348551,0.770874616699788
In what city was James W. Owens born?,0,-6.525468173090446,-5.941490505879045,-5.980376916931064
In what city was Jean Arp born?,1,6.025946555061924,1.6460807718110573,3.163357615290835
In what city was Joel Johnson born?,0,-7.483059449994959,-5.1862842711423145,-7.3369772596839224
In what city was John Keating born?,0,-8.376285076335165,-7.80001500187549,-6.698251247182282
In what city was Lance Hooper born?,0,-9.277809991858575,-6.51873549725141,-10.429552245352697
In what city was Manon born?,0,-9.80004968063513,-4.5456021968970175,-8.72404996151857
In what city was Mark Holzemer born?,0,-3.9697365844322325,-10.37111373444761,-10.359899971192888
In what city was Mikael Eriksson born?,0,2.0325953221107467,-0.3163885936636688,-5.203463621317344
In what city was Moses the Black born?,1,-2.1428591915833874,0.4190133606367874,3.7988421289857346
In what city was Offer Nissim born?,1,5.925297358724954,8.354676522786527,-0.5993775609886718
In what city was Pete Stewart born?,0,-10.963940765161475,-10.048060418234206,-12.132200913037602
In what city was Ralph Campney born?,0,-9.420691218898066,-6.00130662942694,-8.917947998516967
In what city was Robert Creamer born?,0,-3.605274345373154,-3.480544365858297,-5.3613532345438255
In what city was Shawn Respert born?,0,-5.606631599365665,-7.501210442350136,3.5512768463468563
In what city was Steve McDonald born?,0,-7.156828476484281,-7.001793279577199,-8.972681012071085
In what city was Ted Williams born?,1,7.387810463764025,8.001631039753839,1.1507242741192694
In what city was Valdemar III of Denmark born?,1,2.076033149459687,2.1917421194969484,-1.6508745916281296
In what city was William Osler born?,0,8.580660374664278,9.16135309278432,5.03021582177243
In what country is Abdul Mannan Bhuiyan Stadium?,1,2.0312867871258034,2.835916917743841,8.045019421805332
