question,gold,prop,kside,knows,A_cb,ctx_id,ctx_title,s_wiki_title,orig_gold,ctx_label,ctx_text,answer_surface,ans_start,ans_end,wrong_answer
What genre is Kanoon?,"[""Bollywood"", ""HFI"", ""HLFI"", ""Hindi language film industry"", ""Hindi Cinema"", ""HIFI""]",genre,K+,True,Kanoon is a Bollywood film genre.,16462170,Farz Aur Kanoon,Kanoon,Bollywood,C+,"Farz Aur Kanoon Farz aur Kanoon (English: Duty & Law; Hindi: फ़र्ज़ और कानून) is a 1982 Bollywood Action film, produced by M. Arjuna Raju and A. S. R. Anjineelu under the Roja Movies banner and directed by K. Raghavendra Rao. It stars Jeetendra, Hema Malini, Rati Agnihotri in the pivotal roles and music composed by Laxmikant-Pyarelal. The film is a remake of the Telugu movie """"Kondaveeti Simham"""" (1981), starring N. T. Rama Rao, Sridevi in the lead roles and both the movies are made under the same banner and director. """"Kondaveeti Simham"""" itself was a remake of the 1974",Bollywood,88,97,
Who is the author of Free to Choose?,"[""Milton Friedman"", ""Milton Fridman""]",author,K+,True,Milton Friedman,138407,Free to Choose,Free to Choose,Milton Friedman,C+,"Free to Choose Free to Choose: A Personal Statement (1980) is a book and a ten-part television series broadcast on public television by economists Milton and Rose D. Friedman that advocates free market principles. It was primarily a response to an earlier landmark book and television series: """"The Age of Uncertainty"""", by the noted economist John Kenneth Galbraith. Milton Friedman won the Nobel Memorial Prize in Economics in 1976. """"Free to Choose: A Personal Statement"""" maintains that the free market works best for all members of a society, provides examples of how the free market engenders prosperity, and maintains that",Milton Friedman,368,383,
What is Prague the capital of?,"[""Central Bohemian Region"", ""Středočeský kraj"", ""Central Bohemia"", ""Central Bohemia Region"", ""Czech Socialist Republic"", ""Czech SR"", ""Česká socialistická republika"", ""Czech Republic"", ""CZR"", ""cz"", ""Česko"", ""Česká republika"", ""ČR"", ""cze"", ""CZE"", ""Czechia"", ""Czechoslovakia"", ""Czecho-Slovakia"", ""cs"", ""TCH"", ""Československo"", ""ČSFR"", ""Federation of Czechoslovakia"", ""People's Republic of Czechoslovakia"", ""CSFR"", ""Bohemia"", ""Kingdom of Bohemia"", ""České království"", ""Königreich Böhmen"", ""Regnum Bohemiae"", ""Czech Kingdom"", ""Bohemia""]",capital of,K+,True,Czech Republic.,18314033,Coat of arms of Prague,Prague,Kingdom of Bohemia,C+,"of Prague, currently 112. Coat of arms of Prague The coat of arms of the city of Prague, the capital of the Czech Republic, has a lesser and a greater version. The coat of arms was first introduced in the 15th century (when the city of Prague corresponded to what is now the Old Town district). It consisted of three silver towers on a red shield. The coat of arms was improved by Frederick III in 1462, in recognition of the service of king George of Poděbrady, by replacing the silver tincture by gold. The full coat of arms in",Kingdom of Bohemia,108,122,
What is Barcelona the capital of?,"[""Catalonia"", ""Catalunya"", ""Cataluña"", ""Catalonha"", ""Autonomous community of Catalonia"", ""Barcelona Province"", ""Province of Barcelona"", ""provincia de Barcelona""]",capital of,K+,True,"Barcelona is the capital of Catalonia, a region in northeastern Spain.",19893078,Fashion in Barcelona,Barcelona,Barcelona Province,C+,"de Gràcia in 1984. Throughout the end of the century, Barcelona continued to grow as a fashion capital and various fashion franchises continued to open stores in the Catalan capital city. In the 21st century, Barcelona has emerged as one of the top 10 fashion capitals in the world, ranking as #5 in 2015 according to the Global Language Monitor. In 2014, the region in which Barcelona is located, Catalonia, was home to 1,700 fashion businesses that employed 100,000 people and generated 13 billion euros (about 13.8 billion USD) per year. This neighborhood is Barcelona’s most posh fashion district that",Barcelona Province,398,407,
What is the capital of Loir-et-Cher?,"[""Blois""]",capital,K+,True,Blois.,899473,Loir-et-Cher,Loir-et-Cher,Blois,C+,"largest of the French departments in terms of area. The line of the river Loire traverses the land, ensuring easy communication between its own capital, Blois, and the vibrant cultural and commercial centres of Tours to the west and the fringes of the Seine-Paris basin at Orléans to the east. Its main rivers are the Loire, on which its prefecture (capital) Blois is situated, the Loir and the Cher. The inhabitants of the department are called the """"Loir-et-Chériens"""". Loir-et-Cher has an important number of historic châteaux, including the following: Loir-et-Cher Loir-et-Cher () is a department in the Centre-Val de Loire",Blois,153,158,
In what city was Offer Nissim born?,"[""Tel Aviv"", ""Tel Aviv-Yafo"", ""Tel-Aviv"", ""Tel Aviv City"", ""Tel Aviv-Jaffa"", ""Tel-aviv"", ""Tel aviv"", ""Tel-Aviv Jaffa"", ""Tel Aviv Jaffa"", ""Tel Aviv-Jafo"", ""Tel Aviv, Israel"", ""TLV""]",place of birth,K+,True,"Tel Aviv, Israel",9152674,Offer Nissim,Offer Nissim,Tel Aviv,C+,"Offer Nissim Offer Nissim is an Israeli DJ, remixer, and record producer. Nissim produced several official remixes to Madonna, Pet Shop Boys, Christina Aguilera, Deborah Cox, Dana International, Kristine W. and other dance-pop top acts. Nissim has ranked 4 times on """"DJ Magazine""""s annual list of Top 100 DJs: in 2006 (29th), in 2007 (56th), in 2008 (51st) and in 2009 (43rd). 2002 - """"Excited"""" 2004 - """"Searching"""" (2 CDs) 2005 - """"First Time"""" (ft. Maya Simantov) 2005 - """"OfferNissim"""" 2005 - """"The Remixes"""" 2006 - """"Second Time"""" (ft. Maya Simantov) (2 CDs) 2007 - """"Forever Tel Aviv"""" (2 CDs)",Tel Aviv,582,590,
What is the capital of Guyana?,"[""Georgetown"", ""Garden City of the Caribbean"", ""Georgetown, British Guiana""]",capital,K+,True,Georgetown.,7637079,Lusignan (Guyana),Guyana,Georgetown,C+,"on the East Coast of Demerara, approximately 16 km from the capital city Georgetown. This village has a population of about 2,000 persons . It is home to the Lusignan Golf Course, Guyana's only golf course, and there is also a community centre which houses the Lusignan Cricket Club and a Dental Surgery. The village constitutes a market square, supermarket, and pharmacy, and one of the Guyana's five maximum security prisons. Transportation for the village is via a railway embankment and the major East Coast highway, and connects the community to the capital city. Lusignan (Guyana) Lusignan is a community",Georgetown,73,83,
Who is the father of Chimera?,"[""Typhon"", ""Typhoeus""]",father,K+,True,Typhon,892929,Chimera (mythology),Chimera (mythology),Typhon,C+,"(that does not occur with depictions of male lions). Sighting the Chimera was an omen of storms, shipwrecks, and natural disasters (particularly volcanoes). While there are different genealogies, in one version the Chimera mated with her brother Orthrus and was the mother of the Sphinx and the Nemean lion (others have Orthrus and their mother, Echidna, mating; most attribute all to Typhon and Echidna). The Chimera finally was defeated by Bellerophon with the help of Pegasus, at the command of King Iobates of Lycia, after terrorizing Lycia and nearby lands. Since Pegasus could fly, Bellerophon shot the Chimera from the",Typhon,385,391,
What is the capital of Vimmerby Municipality?,"[""Vimmerby""]",capital,K+,True,Vimmerby.,1235250,Vimmerby Municipality,Vimmerby Municipality,Vimmerby,C+,"Vimmerby Municipality Vimmerby Municipality (""""Vimmerby kommun"""") is a municipality in Kalmar County, south-eastern Sweden. Its seat is located in the city of Vimmerby. Stångån is a small river running through the municipality. The municipality was created by the local government reform of 1971, when the """"City of Vimmerby"""" was amalgamated with the surrounding rural municipalities to form an entity of unitary type. There are 6 urban areas (also called a Tätort or locality) in Vimmerby Municipality. In the table the localities are listed according to the size of the population as of December 31, 2005. The municipal seat is in",Vimmerby,0,8,
Who is the author of Superman & Batman: Generations?,"[""John Byrne"", ""John Lindley Byrne"", ""John L. Byrne""]",author,K+,True,John Byrne,3806608,Superman & Batman: Generations,Superman & Batman: Generations,John Byrne,C+,"Superman & Batman: Generations Superman & Batman: Generations is the umbrella title of three Elseworlds comic book limited series published by DC Comics in the United States, written and illustrated by John Byrne. A major concept of the series is the avoidance of so-called comic book time; it places Superman, Batman and the other members of the DC Universe in a single timeline, showing the characters aging and being replaced by their progeny. The Elseworlds story """"Batman & Captain America"""", co-published with Marvel Comics and written/drawn by John Byrne, was released in 1996. The story features Batman & Robin teaming",John Byrne,202,212,
