qid,K,C,layer,train_input,test_input,decision_score,probability,fold
What genre is Kanoon?,1,1,15,q,q,-3.7949986741212505,0.021988568066018167,2
Who is the author of Free to Choose?,1,1,15,q,q,8.109016964596089,0.999699276022979,0
What is Prague the capital of?,1,1,15,q,q,2.9319804663982767,0.9494048919684899,1
What is Barcelona the capital of?,1,1,15,q,q,-0.65630405265432,0.3415703428898956,0
What is the capital of Loir-et-Cher?,1,1,15,q,q,9.408574396606426,0.9999179889374811,0
In what city was Offer Nissim born?,1,1,15,q,q,0.7331644722272543,0.6754993097332809,3
What is the capital of Guyana?,1,1,15,q,q,8.903329801494793,0.9998640829422542,2
Who is the father of Chimera?,1,1,15,q,q,-0.14806296106057526,0.4630517353779879,2
What is the capital of Vimmerby Municipality?,1,1,15,q,q,3.60986451278701,0.9736572055062905,2
Who is the author of Superman & Batman: Generations?,1,1,15,q,q,-0.035664182171371905,0.49108489938867567,1
Who is the author of The Mysterious Mr Quin?,1,1,15,q,q,6.3796208186793715,0.9983071049161886,3
What is the capital of Nebraska?,1,1,15,q,q,5.633089667933341,0.9964352479859654,2
Who is the author of Elements?,1,1,15,q,q,5.572948848256484,0.9962151192924517,3
Who is the father of Sally Aw?,1,1,15,q,q,-1.129123573609867,0.24432287855501583,1
What is Algiers the capital of?,1,1,15,q,q,5.0185236126046,0.9934291765465157,2
What genre is Martin Garrix?,1,1,15,q,q,7.247750155247319,0.9992887322921457,2
Who was the screenwriter for Man of La Mancha?,1,1,15,q,q,6.162556472832115,0.9978975692775948,3
Who was the screenwriter for Boudu Saved from Drowning?,1,1,15,q,q,5.409500998752807,0.9955460542614657,3
Who is the author of The Prince?,1,1,15,q,q,8.809116117061912,0.999850657087658,4
In what country is Spumoni Gardens?,1,1,15,q,q,11.769939394659964,0.9999922664853971,3
What sport does 1973 Virginia Slims of Fort Lauderdale play?,1,1,15,q,q,1.8596817788452684,0.8652598524702778,1
Who is the author of The Trumpet-Major?,1,1,15,q,q,6.820370100528267,0.9989098727238257,0
Who is the father of Louis X of France?,1,1,15,q,q,6.148819095532581,0.9978685500863779,1
In what country is KV Svalbard?,1,1,15,q,q,11.581820466180844,0.9999906658402934,1
What is the capital of Guadeloupe?,1,1,15,q,q,9.503792114088478,0.9999254370393308,3
Who was the screenwriter for Lars and the Real Girl?,1,1,15,q,q,-0.5080212056008189,0.37565751557010474,0
What sport does 2010 Veikkausliiga play?,1,1,15,q,q,7.325443802250829,0.9993418661006019,3
In what city was Moses the Black born?,1,1,15,q,q,1.5573925390294905,0.8259788808626667,4
Who was the producer of Afghan Massacre: The Convoy of Death?,1,1,15,q,q,-7.419873996071726,0.0005988657902759665,1
In what city was Giuseppe Bezzuoli born?,1,1,15,q,q,1.2739878946315943,0.7814246453733148,1
Who is the mother of Lulach?,1,1,15,q,q,-0.252871117723136,0.4371169458034568,1
What sport does Slower ball play?,1,1,15,q,q,0.5670686077883815,0.6380864969269352,0
What is the religion of Marjorie Cameron?,1,1,15,q,q,-4.547047944870561,0.010487296404935524,0
Who was the composer of Toy Story?,1,1,15,q,q,6.067514732098598,0.9976884314904495,2
In what city was Cornelis Springer born?,1,1,15,q,q,4.288422231885043,0.9864593017239122,1
What genre is Ministry?,1,1,15,q,q,5.698782781392483,0.996661144592915,0
What genre is Joe Abercrombie?,1,1,15,q,q,7.802527238181486,0.9995914661796246,4
What genre is Shaft?,1,1,15,q,q,1.5908184675113968,0.8307312245512042,1
In what country is Monti della Tolfa?,1,1,15,q,q,13.531742971206041,0.9999986718775427,2
Who is the author of Gin Tama?,1,1,15,q,q,5.683360343483578,0.9966094281224532,2
What genre is Frifot?,1,1,15,q,q,1.199355636973594,0.7684101350655033,2
Who was the screenwriter for Absentia?,1,1,15,q,q,1.0793337782475703,0.7463678863531596,0
What is Perth the capital of?,1,1,15,q,q,-1.1524236508399524,0.24004667180406505,1
Who was the screenwriter for The Circus?,1,1,15,q,q,2.764004913197443,0.9406994388278533,1
What is the capital of Likouala Department?,1,1,15,q,q,0.4451893566187539,0.6094948534975563,1
In what country is BBC?,1,1,15,q,q,7.529085708293411,0.9994630592438336,1
What is the capital of Laos?,1,1,15,q,q,9.985483582001946,0.999953938340942,3
What genre is Sabotage?,1,1,15,q,q,2.105526396798948,0.8914391560815143,2
What is the capital of Rabun County?,1,1,15,q,q,6.184455046714655,0.9979430153894135,0
Who was the composer of The Mission?,1,1,15,q,q,2.844428308382118,0.9450299593365763,2
What is Stari Ras the capital of?,1,1,15,q,q,6.195089778243676,0.9979647306732463,3
What genre is The Buckaroos?,1,1,15,q,q,-0.24713723332836723,0.43852824852485567,1
What sport does Richard Varga play?,1,1,15,q,q,4.581559406164532,0.989864855693384,1
In what country is Lutsk?,1,1,15,q,q,12.786155820355582,0.9999972007488406,1
In what country is Buckskin Mountain State Park?,1,1,15,q,q,7.123239305768989,0.999194498209213,3
In what country is Post Carbon Institute?,1,1,15,q,q,4.659920539567196,0.9906215729411629,4
What is the capital of Montenegro?,1,1,15,q,q,10.927895427444556,0.9999820498731774,0
What sport does FC Dynamo Brest play?,1,1,15,q,q,4.669378328395103,0.990709033777707,3
What is the capital of Maryland?,1,1,15,q,q,7.837944135194057,0.9996056763489916,3
Who was the screenwriter for 300?,1,1,15,q,q,5.305085105770183,0.9950582664587232,2
Who was the screenwriter for Trance?,1,1,15,q,q,4.759593860872146,0.9915037164759508,0
Who was the director of Island of Doomed Men?,1,1,15,q,q,0.4060274890872173,0.6001349638413059,0
Who was the composer of The Washington Post?,1,1,15,q,q,0.7186814211544659,0.6723165909586226,3
Who is the author of Stack Overflow?,1,1,15,q,q,1.7474428620174842,0.8516299817762385,3
Who was the screenwriter for I Wish?,1,1,15,q,q,0.7787488086151846,0.6854103909212085,2
What genre is Coral Records?,1,1,15,q,q,2.752017239960139,0.9400271749152777,0
In what country is Dragomirna River?,1,1,15,q,q,9.032334710295052,0.9998805310659342,2
What color is fire engine?,1,1,15,q,q,6.6505429095289665,0.9987083507562822,1
"In what country is Amesbury, Toronto?",1,1,15,q,q,5.547732326746054,0.9961188393699619,3
In what country is Abdul Mannan Bhuiyan Stadium?,1,1,15,q,q,3.426005261590161,0.9685074529398979,4
Who was the director of Brotherhood of the Wolf?,1,1,15,q,q,5.4090421861921225,0.9955440193743496,3
Who is the father of Umm Kulthum bint Ali ibn Abi Talib?,1,1,15,q,q,3.31350852378005,0.9648893362957426,4
In what city was Valdemar III of Denmark born?,1,1,15,q,q,-4.735270858003194,0.008703651683191966,1
"Who was the composer of I Can't Give You Anything but Love, Baby?",1,1,15,q,q,3.549859184649706,0.9720736038243505,0
What is the religion of Saint Patrick?,1,1,15,q,q,2.55528712004432,0.9279279060919932,0
What is the capital of Cook Islands?,1,1,15,q,q,7.411592812689118,0.9993961573080653,1
What is Manila the capital of?,1,1,15,q,q,0.4863568820382931,0.6192478321104038,0
What is the capital of Tindouf Province?,1,1,15,q,q,6.8781156257462435,0.9989709766998053,4
What is the capital of Turkey?,1,1,15,q,q,9.018711554055725,0.9998788925837786,1
Who is the father of Hera?,1,1,15,q,q,6.579906942501736,0.9986139453633386,1
Who is the father of Tammam Salam?,1,1,15,q,q,5.437797494322389,0.9956697808059596,0
Who was the screenwriter for Fever Pitch?,1,1,15,q,q,-2.2468395458110457,0.09562242804070682,0
What is the capital of Province of Florence?,1,1,15,q,q,7.7454022311773425,0.999567459617121,1
What sport does earned run average play?,1,1,15,q,q,10.524062952023924,0.9999731189729253,0
What is the capital of French Guiana?,1,1,15,q,q,13.264117252763496,0.999998264333361,3
What is the capital of Bhutan?,1,1,15,q,q,10.722571947287262,0.9999779587307926,0
What sport does Stadio Brianteo play?,1,1,15,q,q,4.559903472341706,0.9896452733478739,3
What is the capital of Albania?,1,1,15,q,q,10.693763477187312,0.9999773145353624,0
What is the capital of Lesotho?,1,1,15,q,q,9.793039147820792,0.9999441641814601,1
In what country is Rockcastle River?,1,1,15,q,q,10.767405560728914,0.9999789250754862,2
Who was the screenwriter for From Beyond?,1,1,15,q,q,0.3428853492630264,0.5848912380649952,4
What is the capital of Bosnia and Herzegovina?,1,1,15,q,q,9.544413034440332,0.9999284049508297,4
What sport does Bedworth United F.C. play?,1,1,15,q,q,7.718598261574591,0.9995557142609194,2
In what city was Hendrik Gerritsz Pot born?,1,1,15,q,q,0.80914975848928,0.6919282934017376,0
In what country is Marvejols?,1,1,15,q,q,10.642926227666692,0.9999761314793894,4
What is the capital of Morris County?,1,1,15,q,q,3.8311756631224316,0.978776113600027,4
What is the capital of Nidwalden?,1,1,15,q,q,5.832800480816215,0.9970786985431634,1
What is Robert Gwilym's occupation?,1,1,15,q,q,-4.194240717266752,0.014858097121646435,3
Who was the director of Imagine That?,1,1,15,q,q,1.3214163250914703,0.7894172495969082,1
Who was the director of The Sugarland Express?,1,1,15,q,q,2.2894370731873366,0.9079984354953536,4
Who is the author of Christopher and His Kind?,1,1,15,q,q,6.094201757840997,0.997749167491181,3
What genre is Buono! 2?,1,1,15,q,q,4.477377139428187,0.9887644929334248,2
What is the religion of Samuel Johnson?,1,1,15,q,q,1.8958903313150652,0.8694256847859998,4
What genre is Xenogears?,1,1,15,q,q,4.80103728561048,0.991845822369699,2
Who was the director of Grease?,1,1,15,q,q,5.6902925819327645,0.9966327722240901,2
What genre is Peggle 2?,1,1,15,q,q,3.70048873686859,0.9758844831711347,3
What is the religion of Kingdom of England?,1,1,15,q,q,0.0941274373706531,0.5235145004163894,1
Who is the author of The Little Prince?,1,1,15,q,q,5.830335025128364,0.9970715084360574,3
Who is the father of King Arthur?,1,1,15,q,q,6.954633282674484,0.9990467058370823,3
Who was the producer of Amistad?,1,1,15,q,q,0.8455235525888145,0.6996272631901591,0
Who is the author of Gor?,1,1,15,q,q,-0.7289645662895028,0.32542198733180566,1
In what country is Old Persian?,1,1,15,q,q,11.346774828544682,0.9999881926298912,1
What is the capital of South Sudan?,1,1,15,q,q,10.115193543431234,0.9999595415081798,0
In what country is Wynau?,1,1,15,q,q,7.308642891139004,0.9993307229060265,0
What is the capital of Nunavut?,1,1,15,q,q,10.272667036416006,0.9999654361286089,3
What is the capital of Riley County?,1,1,15,q,q,6.203061663212052,0.997980858475858,4
In what country is Velventos?,1,1,15,q,q,8.700294591318258,0.9998334909863871,2
Who is the author of How to Be Both?,1,1,15,q,q,5.962403671856669,0.997432888863385,1
What is the capital of Tang Empire?,1,1,15,q,q,3.470931189146155,0.9698492599592272,4
Who was the composer of The Nose?,1,1,15,q,q,9.37297335814102,0.9999150169170021,1
In what country is Severna Park?,1,1,15,q,q,7.474043258560316,0.9994326934377022,0
What is the capital of North Carolina?,1,1,15,q,q,7.019639645318752,0.9991066511406882,0
Who is the father of Wayne Gretzky?,1,1,15,q,q,9.060013815951121,0.9998837921349717,2
Who was the composer of Anything Goes?,1,1,15,q,q,7.136410918652521,0.999205030019809,1
Who was the composer of Soul Eyes?,1,1,15,q,q,2.401839579128219,0.9169674730910387,4
Who was the producer of The Slim Shady LP?,1,1,15,q,q,7.4192024723959005,0.9994007321631875,4
Who was the director of The Man Trap?,1,1,15,q,q,-0.17060185749428491,0.45745268055859356,4
Who was the producer of Crash?,1,1,15,q,q,-3.4491559998698094,0.030794039214877163,0
Who is the father of Arjuna?,1,1,15,q,q,9.041736395827128,0.9998816488794507,3
What genre is Prince?,1,1,15,q,q,2.161650526583787,0.8967524667428806,1
Who is the father of Archduchess Assunta of Austria?,1,1,15,q,q,-2.195639960445197,0.10014270594403041,1
What is the capital of Mauritania?,1,1,15,q,q,10.568281687321697,0.9999742816909667,1
Who is the father of Li Xian?,1,1,15,q,q,0.26693668930083536,0.5663407126476169,2
What is the capital of European Union?,1,1,15,q,q,7.692268489077122,0.999543866362538,0
What sport does Olympique Lyonnais Féminin play?,1,1,15,q,q,10.114865239121153,0.9999595282238395,2
In what country is Katmai National Park and Preserve?,1,1,15,q,q,14.222306618799802,0.9999993342204881,4
Who is the mother of Jesus?,1,1,15,q,q,2.6325167576325876,0.9329252091397757,3
What is the capital of Tokugawa Shogunate?,1,1,15,q,q,7.0110097215250455,0.9990989152228744,3
Who was the director of Errand of Mercy?,1,1,15,q,q,-0.2567098046281968,0.43617268240801443,4
What is Lisa McRee's occupation?,1,1,15,q,q,3.5543445561802813,0.9721951085381088,1
Who was the director of The Sting?,1,1,15,q,q,6.135451438175238,0.9978399282629326,1
What is Budapest the capital of?,1,1,15,q,q,7.554964438506017,0.9994767691556462,2
What is Ski Beatz's occupation?,1,1,15,q,q,9.738864414174659,0.9999410560378741,4
What sport does Dorus de Vries play?,1,1,15,q,q,6.330898645404618,0.9982227312361037,0
What is the religion of bhikkhu?,1,1,15,q,q,6.344349093640769,0.9982464346106635,3
"Who is the father of Mary, Princess Royal and Countess of Harewood?",1,1,15,q,q,2.83118908848056,0.9443381378993282,3
Who was the producer of Titanic?,1,1,15,q,q,2.9891771055859415,0.9520827827172915,3
Who was the director of The Omen?,1,1,15,q,q,5.929248541348672,0.9973465788961854,3
Who was the screenwriter for The Joy Luck Club?,1,1,15,q,q,4.354366843442791,0.9873124686199519,3
Who is the author of GNU General Public License?,1,1,15,q,q,1.5725264261636271,0.828143472087826,3
In what country is The Players Championship?,1,1,15,q,q,8.61665124181657,0.9998189671933678,1
Who is the author of Black Orchids?,1,1,15,q,q,4.722369319941205,0.9911843266676892,1
What is the capital of Confederate States of America?,1,1,15,q,q,3.223710299348147,0.961716852883817,3
What sport does 2006–07 Primera B Nacional play?,1,1,15,q,q,6.936509503102845,0.9990292879529072,4
Who was the screenwriter for Stereo?,1,1,15,q,q,-3.070241781538181,0.04435157866660288,0
Who is the author of Natalka Poltavka?,1,1,15,q,q,2.893158967247796,0.9475072223176713,4
What sport does Tranmere Rovers F.C. play?,1,1,15,q,q,8.73620566512015,0.9998393634686772,2
Who was the screenwriter for Wolf?,1,1,15,q,q,-2.626560946492515,0.06744844261527982,1
What genre is Super Mario World?,1,1,15,q,q,6.782906095056771,0.9988683046165329,4
Who was the screenwriter for Witness for the Prosecution?,1,1,15,q,q,2.56961293492271,0.9288801299311599,2
Who is the father of Macrianus Minor?,1,1,15,q,q,4.495026468711518,0.9889588821869295,0
What sport does Ligue Magnus play?,1,1,15,q,q,7.78393585983689,0.9995838031212156,4
What is Dick Rude's occupation?,1,1,15,q,q,4.310188727456633,0.9867469868585644,4
In what country is Deodara?,1,1,15,q,q,9.353800925025128,0.9999133720076017,3
Who was the director of Madea Gets a Job?,1,1,15,q,q,3.115388546503805,0.9575230633607364,2
Who is the father of Tiger Woods?,1,1,15,q,q,14.587372269121419,0.99999953784834,0
In what country is Kuujjuarapik?,1,1,15,q,q,15.210957058444064,0.9999997522776579,3
Who is the author of New Mutants?,1,1,15,q,q,4.58771984273861,0.9899264736555138,3
In what country is Lugano Airport?,1,1,15,q,q,13.610715643027843,0.9999987727281626,2
In what country is Sinaloa Cartel?,1,1,15,q,q,12.517273738631086,0.9999963371806814,4
Who is the father of William III of the Netherlands?,1,1,15,q,q,5.402805044441811,0.995516264941939,1
In what country is Chrysler?,1,1,15,q,q,5.000763352332681,0.9933122219747491,0
Who is the author of Jumper?,1,1,15,q,q,0.46046000213667915,0.6131232957576714,0
Who was the director of The Designated Mourner?,1,1,15,q,q,5.196185949512848,0.9944928515814713,2
What is Andy C's occupation?,1,1,15,q,q,4.540745344214908,0.9894470973437896,1
What is the capital of Russia?,1,1,15,q,q,8.853389566157821,0.9998571238593753,3
In what country is Bouvet Island?,1,1,15,q,q,17.29132944598956,0.999999969063511,0
What sport does Corby Town F.C. play?,1,1,15,q,q,5.658186982057706,0.9965232931707849,3
In what country is Revigliasco d'Asti?,1,1,15,q,q,15.20086862305736,0.999999749765879,3
Who was the screenwriter for Les Bonnes Femmes?,1,1,15,q,q,-0.26414934708130033,0.43434398172932914,4
What is the capital of Uzbekistan?,1,1,15,q,q,9.66456426173717,0.9999365099751752,4
In what country is Asiana Airlines?,1,1,15,q,q,9.856578427213865,0.9999476014074736,2
What is the capital of Obwalden?,1,1,15,q,q,7.785545923357043,0.9995844724072397,3
In what country is Kanjiroba Himal?,1,1,15,q,q,9.847011305100345,0.9999470977247049,0
Who was the director of Green Hell?,1,1,15,q,q,-8.014070669153398,0.00033066612086579103,1
Who is the father of Randolph Churchill?,1,1,15,q,q,6.2408286109810085,0.9980555477403378,2
In what country is Kireyevsky District?,1,1,15,q,q,3.995174009714959,0.9819283514083227,3
What is Benazir Bhutto's occupation?,1,1,15,q,q,5.475341113827953,0.9958286734017151,4
Who was the director of Alphaville?,1,1,15,q,q,8.436569626211337,0.9997832544331354,1
What is Firaq Gorakhpuri's occupation?,1,1,15,q,q,5.104388577159139,0.9939665740445958,3
Who was the screenwriter for Tanu Weds Manu?,1,1,15,q,q,0.16927679435721643,0.5422184338912533,4
Who was the composer of Samson?,1,1,15,q,q,-3.7257637331767217,0.023527796485106788,3
Who is the author of Couples?,1,1,15,q,q,-5.963840147018604,0.0025634356386452584,1
Who was the producer of Xxplosive?,1,1,15,q,q,-0.9283117003337757,0.2832673594015895,2
Who was the composer of Shaft?,1,1,15,q,q,3.10017472838709,0.9568999518582098,1
Who was the producer of No Entry?,1,1,15,q,q,-2.982428894630564,0.04822601938416987,4
Who is the mother of Todd McCaffrey?,1,1,15,q,q,-0.12144490544614084,0.4696760348193023,3
