mode,qid,n_tok,cut
cq,What genre is Kanoon?,195,0
cq,Who is the author of Free to Choose?,141,0
cq,What is Prague the capital of?,138,0
cq,What is Barcelona the capital of?,152,0
cq,What is the capital of Loir-et-Cher?,171,0
cq,In what city was Offer Nissim born?,218,0
cq,What is the capital of Guyana?,155,0
cq,Who is the father of Chimera?,169,0
cq,What is the capital of Vimmerby Municipality?,170,0
cq,Who is the author of Superman & Batman: Generations?,149,0
cq,Who is the author of The Mysterious Mr Quin?,155,0
cq,What is the capital of Nebraska?,140,0
cq,Who is the author of Elements?,152,0
cq,Who is the father of Sally Aw?,162,0
cq,What is Algiers the capital of?,163,0
cq,What genre is Martin Garrix?,158,0
cq,Who was the screenwriter for Man of La Mancha?,182,0
cq,Who was the screenwriter for Boudu Saved from Drowning?,178,0
cq,Who is the author of The Prince?,136,0
cq,In what country is Spumoni Gardens?,171,0
cq,What sport does 1973 Virginia Slims of Fort Lauderdale play?,156,0
cq,Who is the author of The Trumpet-Major?,163,0
cq,Who is the father of Louis X of France?,161,0
cq,In what country is KV Svalbard?,148,0
cq,What is the capital of Guadeloupe?,155,0
cq,Who was the screenwriter for Lars and the Real Girl?,152,0
cq,What sport does 2010 Veikkausliiga play?,200,0
cq,In what city was Moses the Black born?,142,0
cq,Who was the producer of Afghan Massacre: The Convoy of Death?,166,0
cq,In what city was Giuseppe Bezzuoli born?,192,0
cq,Who is the mother of Lulach?,205,0
cq,What sport does Slower ball play?,136,0
cq,What is the religion of Marjorie Cameron?,160,0
cq,Who was the composer of Toy Story?,144,0
cq,In what city was Cornelis Springer born?,168,0
cq,What genre is Ministry?,151,0
cq,What genre is Joe Abercrombie?,147,0
cq,What genre is Shaft?,142,0
cq,In what country is Monti della Tolfa?,161,0
cq,Who is the author of Gin Tama?,173,0
cq,What genre is Frifot?,164,0
cq,Who was the screenwriter for Absentia?,152,0
cq,What is Perth the capital of?,138,0
cq,Who was the screenwriter for The Circus?,205,0
cq,What is the capital of Likouala Department?,187,0
cq,In what country is BBC?,133,0
cq,What is the capital of Laos?,153,0
cq,What genre is Sabotage?,149,0
cq,What is the capital of Rabun County?,151,0
cq,Who was the composer of The Mission?,152,0
cq,What is Stari Ras the capital of?,144,0
cq,What genre is The Buckaroos?,164,0
cq,What sport does Richard Varga play?,162,0
cq,In what country is Lutsk?,153,0
cq,In what country is Buckskin Mountain State Park?,139,0
cq,In what country is Post Carbon Institute?,148,0
cq,What is the capital of Montenegro?,144,0
cq,What sport does FC Dynamo Brest play?,153,0
cq,What is the capital of Maryland?,141,0
cq,Who was the screenwriter for 300?,147,0
cq,Who was the screenwriter for Trance?,150,0
cq,Who was the director of Island of Doomed Men?,156,0
cq,Who was the composer of The Washington Post?,153,0
cq,Who is the author of Stack Overflow?,138,0
cq,Who was the screenwriter for I Wish?,143,0
cq,What genre is Coral Records?,152,0
cq,In what country is Dragomirna River?,144,0
cq,What color is fire engine?,124,0
cq,"In what country is Amesbury, Toronto?",149,0
cq,In what country is Abdul Mannan Bhuiyan Stadium?,201,0
cq,Who was the director of Brotherhood of the Wolf?,163,0
cq,Who is the father of Umm Kulthum bint Ali ibn Abi Talib?,199,0
cq,In what city was Valdemar III of Denmark born?,178,0
cq,"Who was the composer of I Can't Give You Anything but Love, Baby?",162,0
cq,What is the religion of Saint Patrick?,131,0
cq,What is the capital of Cook Islands?,149,0
cq,What is Manila the capital of?,164,0
cq,What is the capital of Tindouf Province?,153,0
cq,What is the capital of Turkey?,134,0
cq,Who is the father of Hera?,142,0
cq,Who is the father of Tammam Salam?,150,0
cq,Who was the screenwriter for Fever Pitch?,163,0
cq,What is the capital of Province of Florence?,148,0
cq,What sport does earned run average play?,151,0
cq,What is the capital of French Guiana?,151,0
cq,What is the capital of Bhutan?,158,0
cq,What sport does Stadio Brianteo play?,172,0
cq,What is the capital of Albania?,142,0
cq,What is the capital of Lesotho?,162,0
cq,In what country is Rockcastle River?,142,0
cq,Who was the screenwriter for From Beyond?,174,0
cq,What is the capital of Bosnia and Herzegovina?,171,0
cq,What sport does Bedworth United F.C. play?,152,0
cq,In what city was Hendrik Gerritsz Pot born?,169,0
cq,In what country is Marvejols?,158,0
cq,What is the capital of Morris County?,163,0
cq,What is the capital of Nidwalden?,171,0
cq,What is Robert Gwilym's occupation?,184,0
cq,Who was the director of Imagine That?,154,0
cq,Who was the director of The Sugarland Express?,153,0
cq,Who is the author of Christopher and His Kind?,162,0
cq,What genre is Buono! 2?,204,0
cq,What is the religion of Samuel Johnson?,165,0
cq,What genre is Xenogears?,165,0
cq,Who was the director of Grease?,154,0
